max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,SaftyDegree,TET,TIT,dece,JerkViolation,JerkExceededArea,avgJerk
5769.047,0.1528,1.0213,0.2181,0.5812,10.3968,2415.6943,0.2751,1.7688,0.2396,32.9194,1203.88,2.755134183,0.717,0.8,4.358,0.4,15.11544,25.1309
5768.7473,0.1501,1.0041,0.2782,0.5104,9.8451,2415.9943,0.2917,1.3962,0.2433,34.6338,1296.6082,0.831009175,1.02,0.95,3.919,0.65,17.07239,22.23884
5805.0992,0.1497,1.0027,0.2782,0.5792,9.7717,2401.245,0.3002,1.3193,0.243,34.6898,1508.3619,2.272154482,0.516,0.6,5.086,0.25,9.27161,20.05115
5838.268,0.1549,1.0052,0.2804,0.5729,9.8379,2415.0507,0.2705,1.4121,0.2447,34.6912,1259.3227,2.708913576,0.926,0.9,4.492,0.5,17.44675,25.14891
5780.4992,0.1529,1.0204,0.2155,0.4997,10.3617,2386.5688,0.2672,1.7738,0.2405,32.9653,1202.5333,1.837302369,0.724,0.8,4.254,0.5,22.48691,34.1048
5804.4412,0.1448,1.0028,0.2782,0.5792,9.7717,2401.245,0.2676,1.3193,0.2393,34.6558,1508.0777,1.959420831,0.533,0.6,5.314,0.25,6.32777,14.1594
5835.8676,0.1548,1.017,0.2182,0.5697,9.8593,2421.7137,0.2762,1.8153,0.2447,32.8953,1256.8764,2.494895518,0.493,0.6,5.059,0.25,5.66783,12.82676
5782.5409,0.153,1.0049,0.2783,0.5818,10.3727,2386.3028,0.2673,1.405,0.2369,34.6905,1309.0177,1.6794287,0.766,0.8,4.417,0.45,20.44788,31.12162
4478.17,0.1546,1.0218,0.2292,0.5011,9.765,2423.2995,0.2761,1.8066,0.2424,31.9701,1303.0496,2.577298387,0.647,0.7,4.435,0.45,18.88077,33.66118
5781.8286,0.155,1.0009,0.2726,0.5,10.3399,2387.7655,0.2676,1.3983,0.243,34.6905,1308.348,0.882249805,1.013,0.95,4.134,0.75,18.11002,23.7379
5838.268,0.1548,1.0052,0.2803,0.582,10.3752,2415.8315,0.2971,1.4117,0.2447,34.3537,1259.3227,1.681437593,0.707,0.75,4.759,0.4,10.35233,17.71027
5768.5453,0.1501,1.0037,0.2782,0.5035,9.8451,2387.2467,0.2914,1.3962,0.2433,34.6338,1329.01,2.60811982,0.479,0.6,4.851,0.3,10.53103,22.88494
